category	series_slug	raw_title	product_id	product_code	product_slug	url
all-entry	direct-sol	SOL(シルバー)4年保証付き、アプリの操作が快適なおすすめモデル	PC-GE135635YAD3H2YAG	10011069	pc-ge135635yad3h2yag	https://www.nec-lavie.jp/products/notebook/direct-sol/
all-entry	direct-sol	SOL(シルバー、ミニマムソフト)アプリの操作が快適なおすすめモデル	PC-GE135636YAD3H2YAA	10010307	pc-ge135636yad3h2yaa	https://www.nec-lavie.jp/products/notebook/direct-sol/
all-entry	direct-sol	SOL(シルバー、ミニマムソフト)アプリの操作が快適なおすすめモデル	PC-GE13563DYAD3H2YAA	10009705	pc-ge13563dyad3h2yaa	https://www.nec-lavie.jp/products/notebook/direct-sol/
all-entry	n16	N16 (ホワイト) Office搭載で快適に操作できるおすすめモデル	PC-GE135AC1YAD3HVYAA	10010331	pc-ge135ac1yad3hvyaa	https://www.nec-lavie.jp/products/notebook/n16/
all-entry	n16	N16 (ホワイト) アプリの操作が快適なおすすめモデル	PC-GE135AC5YAD3HVYAA	10010330	pc-ge135ac5yad3hvyaa	https://www.nec-lavie.jp/products/notebook/n16/
all-entry	n15	N15 (標準ソフト) Office搭載で快適に操作できるおすすめモデル	PC-GE135AD1YAD3HVYAA	10010344	pc-ge135ad1yad3hvyaa	https://www.nec-lavie.jp/products/notebook/n15/
all-entry	n15	N15 (標準ソフト) アプリの操作が快適なおすすめモデル	PC-GE135AD5YAD3HVYAA	10010342	pc-ge135ad5yad3hvyaa	https://www.nec-lavie.jp/products/notebook/n15/
all-entry	n16	N16 (ブラック) アプリの操作が快適なおすすめモデル	PC-GE135BC5YAD3HVYAA	10010866	pc-ge135bc5yad3hvyaa	https://www.nec-lavie.jp/products/notebook/n16/
all-entry	n16	N16 (ブルー) アプリの操作が快適なおすすめモデル	PC-GE135DC5YAD3HVYAA	10010670	pc-ge135dc5yad3hvyaa	https://www.nec-lavie.jp/products/notebook/n16/
all-entry	direct-sol	SOL(シルバー)動画の編集も快適なハイスペックモデル	PC-GE177625YAD3HYYAA	10010375	pc-ge177625yad3hyyaa	https://www.nec-lavie.jp/products/notebook/direct-sol/
all-entry	direct-sol	SOL(シルバー、ミニマムソフト)動画の編集も快適なハイスペックモデル	PC-GE177626YAD3HYYAA	10010302	pc-ge177626yad3hyyaa	https://www.nec-lavie.jp/products/notebook/direct-sol/
all-entry	direct-sol	SOL(シルバー)4年保証付き、動画の編集も快適なハイスペックモデル	PC-GE177635YAC3H2YAG	10011394	pc-ge177635yac3h2yag	https://www.nec-lavie.jp/products/notebook/direct-sol/
all-entry	direct-sol	SOL(シルバー)動画の編集も快適なハイスペックモデル	PC-GE177635YAD3H2YAA	10010815	pc-ge177635yad3h2yaa	https://www.nec-lavie.jp/products/notebook/direct-sol/
all-entry	direct-sol	SOL(ブラック)動画の編集も快適なハイスペックモデル	PC-GE177725YAD3HYYAA	10010830	pc-ge177725yad3hyyaa	https://www.nec-lavie.jp/products/notebook/direct-sol/
all-entry	direct-sol	SOL(ブラック)4年保証付き、動画の編集も快適なハイスペックモデル	PC-GE177735YAC3H2YAG	10010283	pc-ge177735yac3h2yag	https://www.nec-lavie.jp/products/notebook/direct-sol/
all-entry	direct-sol	SOL(パープル)動画の編集も快適なハイスペックモデル	PC-GE177825YAD3HYYAA	10010831	pc-ge177825yad3hyyaa	https://www.nec-lavie.jp/products/notebook/direct-sol/
all-entry	direct-sol	SOL(パープル)動画の編集も快適なハイスペックモデル	PC-GE177835YAD3H2YAA	10010817	pc-ge177835yad3h2yaa	https://www.nec-lavie.jp/products/notebook/direct-sol/
all-entry	n16	N16 (ホワイト) 動画の編集も快適なハイスペックモデル	PC-GE177AC5YAD3HVYAA	10010867	pc-ge177ac5yad3hvyaa	https://www.nec-lavie.jp/products/notebook/n16/
all-entry	n15	N15 (標準ソフト) 動画の編集も快適なハイスペックモデル	PC-GE177AD5YAD3HVYAA	10010343	pc-ge177ad5yad3hvyaa	https://www.nec-lavie.jp/products/notebook/n15/
all-entry	n16	N16 (ブラック) 動画の編集も快適なハイスペックモデル	PC-GE177BC5YAD3HVYAA	10010333	pc-ge177bc5yad3hvyaa	https://www.nec-lavie.jp/products/notebook/n16/
all-entry	n16	N16 (グリーン) 動画の編集も快適なハイスペックモデル	PC-GE177CC5YAD3HVYAA	10010869	pc-ge177cc5yad3hvyaa	https://www.nec-lavie.jp/products/notebook/n16/
all-entry	n16	N16 (ブルー) 動画の編集も快適なハイスペックモデル	PC-GE177DC5YAD3HVYAA	10010868	pc-ge177dc5yad3hvyaa	https://www.nec-lavie.jp/products/notebook/n16/
all-entry	direct-sol	SOL(シルバー)アプリの操作が快適なおすすめモデル	PC-GE21V635YAD3H2YAA	10010377	pc-ge21v635yad3h2yaa	https://www.nec-lavie.jp/products/notebook/direct-sol/
all-entry	direct-sol	SOL(シルバー)アプリの操作が快適なおすすめモデル	PC-GE21V636YAD3H2YAA	10010304	pc-ge21v636yad3h2yaa	https://www.nec-lavie.jp/products/notebook/direct-sol/
all-entry	direct-sol	SOL(ブラック)アプリの操作が快適なおすすめモデル	PC-GE21V725YAD3HYYAA	10010938	pc-ge21v725yad3hyyaa	https://www.nec-lavie.jp/products/notebook/direct-sol/
all-entry	direct-sol	SOL(ブラック)アプリの操作が快適なおすすめモデル	PC-GE21V735YAD3H2YAA	10010282	pc-ge21v735yad3h2yaa	https://www.nec-lavie.jp/products/notebook/direct-sol/
all-entry	direct-sol	SOL(パープル)アプリの操作が快適なおすすめモデル	PC-GE21V835YAD3H2YAA	10010832	pc-ge21v835yad3h2yaa	https://www.nec-lavie.jp/products/notebook/direct-sol/
all-entry	nx13	NEXTREME アプリの操作が快適なおすすめモデル	PC-GE21WYT5YAD2H2ZAA	10010274	pc-ge21wyt5yad2h2zaa	https://www.nec-lavie.jp/products/notebook/nx13/index.html
all-entry	nx13	NEXTREME(ミニマムソフト)アプリの操作が快適なおすすめモデル	PC-GE21WYT6YAD2H2ZAA	10010311	pc-ge21wyt6yad2h2zaa	https://www.nec-lavie.jp/products/notebook/nx13/index.html
all-entry	n16	N16 (ブラック) 動画の編集も快適なハイスペックモデル	PC-GE227BB5YAD3HVYAA	10010334	pc-ge227bb5yad3hvyaa	https://www.nec-lavie.jp/products/notebook/n16/
all-entry	direct-sol	SOL(シルバー)動画の編集も快適なハイスペックモデル	PC-GE22S625YAD3HYYAA	10010940	pc-ge22s625yad3hyyaa	https://www.nec-lavie.jp/products/notebook/direct-sol/
all-entry	direct-sol	SOL(ブラック)動画の編集も快適なハイスペックモデル	PC-GE22S735YAD3H2YAA	10010833	pc-ge22s735yad3h2yaa	https://www.nec-lavie.jp/products/notebook/direct-sol/
all-entry	nx13	NEXTREME 動画の編集も快適な大容量メモリのハイスペックモデル	PC-GE22SYT5YAD2HYZAA	10010276	pc-ge22syt5yad2hyzaa	https://www.nec-lavie.jp/products/notebook/nx13/index.html
all-entry	nx13	NEXTREME(ミニマムソフト)動画の編集も快適な大容量メモリのハイスペックモデル	PC-GE22SYT6YAD2HYZAA	10010312	pc-ge22syt6yad2hyzaa	https://www.nec-lavie.jp/products/notebook/nx13/index.html
all-entry	nx13	NEXTREME Office搭載で快適に使えるおすすめモデル	PC-GE22TYT1YAD2H2ZAA	10010352	pc-ge22tyt1yad2h2zaa	https://www.nec-lavie.jp/products/notebook/nx13/index.html
all-entry	nx13	NEXTREME 動画の編集も快適なハイスペックモデル	PC-GE22TYT5YAD2H2ZAA	10010275	pc-ge22tyt5yad2h2zaa	https://www.nec-lavie.jp/products/notebook/nx13/index.html
all-entry	n16	N16(R) (ホワイト) 動画の編集も快適なハイスペックモデル	PC-GE27BAC5YAD3HVYAA	10010336	pc-ge27bac5yad3hvyaa	https://www.nec-lavie.jp/products/notebook/n16/
all-entry	n15	N15(R) (標準ソフト) 動画の編集も快適なハイスペックモデル	PC-GE27BAD5YAD3HVYAA	10010347	pc-ge27bad5yad3hvyaa	https://www.nec-lavie.jp/products/notebook/n15/
all-entry	n16	N16(R) (ブラック) 動画の編集も快適なハイスペックモデル	PC-GE27BBC5YAD3HVYAA	10010877	pc-ge27bbc5yad3hvyaa	https://www.nec-lavie.jp/products/notebook/n16/
all-entry	n16	N16(R) (ブルー) 動画の編集も快適なハイスペックモデル	PC-GE27BDC5YAD3HVYAA	10010878	pc-ge27bdc5yad3hvyaa	https://www.nec-lavie.jp/products/notebook/n16/
all-entry	n16	N16(R) (ホワイト) Office搭載で快適に使えるおすすめモデル	PC-GE29EAC1YAD3HVYAA	10010337	pc-ge29eac1yad3hvyaa	https://www.nec-lavie.jp/products/notebook/n16/
all-entry	n16	N16(R) (ホワイト) アプリの操作が快適なおすすめモデル	PC-GE29EAC5YAD3HVYAA	10010880	pc-ge29eac5yad3hvyaa	https://www.nec-lavie.jp/products/notebook/n16/
all-entry	n15	N15(R) (標準ソフト) Office搭載で快適に使えるおすすめモデル	PC-GE29EAD1YAD3HVYAA	10010348	pc-ge29ead1yad3hvyaa	https://www.nec-lavie.jp/products/notebook/n15/
all-entry	n15	N15(R) (標準ソフト) アプリの操作が快適なおすすめモデル	PC-GE29EAD5YAD3HVYAA	10010346	pc-ge29ead5yad3hvyaa	https://www.nec-lavie.jp/products/notebook/n15/
all-entry	n16	N16(R) (ブラック) アプリの操作が快適なおすすめモデル	PC-GE29EBC5YAD3HVYAA	10010339	pc-ge29ebc5yad3hvyaa	https://www.nec-lavie.jp/products/notebook/n16/
all-entry	n16	N16(R) (グリーン) アプリの操作が快適なおすすめモデル	PC-GE29ECC5YAD3HVYAA	10010380	pc-ge29ecc5yad3hvyaa	https://www.nec-lavie.jp/products/notebook/n16/
all-entry	n16	N16(R) (ブルー) アプリの操作が快適なおすすめモデル	PC-GE29EDC5YAD3HVYAA	10010881	pc-ge29edc5yad3hvyaa	https://www.nec-lavie.jp/products/notebook/n16/
all-entry	n16	N16(R) (ホワイト) インターネットやメールに最適なコストパフォーマンスモデル	PC-GE30GAC5YAD3HVYAA	10010335	pc-ge30gac5yad3hvyaa	https://www.nec-lavie.jp/products/notebook/n16/
all-entry	n16	N16(R) (ミニマムソフト、ホワイト) インターネットやメールに最適なコストパフォーマンスモデル	PC-GE30GAC6YAD3HVYAA	10010870	pc-ge30gac6yad3hvyaa	https://www.nec-lavie.jp/products/notebook/n16/
all-entry	n15	N15(R) (標準ソフト) インターネットやメールに最適なコストパフォーマンスモデル	PC-GE30GAD5YAD3HVYAA	10010345	pc-ge30gad5yad3hvyaa	https://www.nec-lavie.jp/products/notebook/n15/
all-entry	n15	N15(R) (ミニマムソフト) インターネットやメールに最適なコストパフォーマンスモデル	PC-GE30GAD6YAD3HVYAA	10010884	pc-ge30gad6yad3hvyaa	https://www.nec-lavie.jp/products/notebook/n15/
all-entry	n16	N16(R) (ブラック) インターネットやメールに最適なコストパフォーマンスモデル	PC-GE30GBC5YAD3HVYAA	10010338	pc-ge30gbc5yad3hvyaa	https://www.nec-lavie.jp/products/notebook/n16/
all-entry	n16	N16(R) (ミニマムソフト、ブラック) インターネットやメールに最適なコストパフォーマンスモデル	PC-GE30GBC6YAD3HVYAA	10010871	pc-ge30gbc6yad3hvyaa	https://www.nec-lavie.jp/products/notebook/n16/
all-entry	direct-n13slim	N13 Slim(シルバー)動画の編集も快適なハイスペックモデル	PC-GE32B485YAD3H21AA	10010872	pc-ge32b485yad3h21aa	https://www.nec-lavie.jp/products/notebook/direct-n13slim/
all-entry	n15slim	N15 Slim (グレー)動画の編集も快適なハイスペックモデル	PC-GE32BJY5YAD2H4YAA	10010263	pc-ge32bjy5yad2h4yaa	https://www.nec-lavie.jp/products/notebook/n15slim/index.html
all-entry	n15slim	N15 Slim (ブルー)動画の編集も快適なハイスペックモデル	PC-GE32BLY5YAD2H4YAA	10011395	pc-ge32bly5yad2h4yaa	https://www.nec-lavie.jp/products/notebook/n15slim/index.html
all-entry	n14slim	N14 Slim クリエイティブな作業に対応するハイスペックモデル	PC-GE33ARN5YAD2HSYAA	10010278	pc-ge33arn5yad2hsyaa	https://www.nec-lavie.jp/products/notebook/n14slim/index.html
all-entry	direct-n13slim	N13 Slim(ブルー)Office搭載で快適に操作できるおすすめモデル	PC-GE33E391YAD3H41AA	10010356	pc-ge33e391yad3h41aa	https://www.nec-lavie.jp/products/notebook/direct-n13slim/
all-entry	direct-n13slim	N13 Slim(ブルー)アプリの操作が快適なおすすめモデル	PC-GE33E395YAD3H41AA	10010665	pc-ge33e395yad3h41aa	https://www.nec-lavie.jp/products/notebook/direct-n13slim/
all-entry	direct-n13slim	N13 Slim(ブルー、ミニマムソフト)アプリの操作が快適なおすすめモデル	PC-GE33E396YAD3H41AA	10010698	pc-ge33e396yad3h41aa	https://www.nec-lavie.jp/products/notebook/direct-n13slim/
all-entry	direct-n13slim	N13 Slim(シルバー)4年保証付き、アプリの操作が快適なおすすめモデル	PC-GE33E495YAC3H41AG	10010678	pc-ge33e495yac3h41ag	https://www.nec-lavie.jp/products/notebook/direct-n13slim/
all-entry	direct-n13slim	N13 Slim(シルバー)アプリの操作が快適なおすすめモデル	PC-GE33E495YAD3H41AA	10010287	pc-ge33e495yad3h41aa	https://www.nec-lavie.jp/products/notebook/direct-n13slim/
all-entry	direct-n13slim	N13 Slim(シルバー、ミニマムソフト)アプリの操作が快適なおすすめモデル	PC-GE33E496YAD3H41AA	10010308	pc-ge33e496yad3h41aa	https://www.nec-lavie.jp/products/notebook/direct-n13slim/
all-entry	n15slim	N15 Slim (グレー)アプリの操作が快適なおすすめモデル	PC-GE33ETY5YAD2H2YAA	10011308	pc-ge33ety5yad2h2yaa	https://www.nec-lavie.jp/products/notebook/n15slim/index.html
all-entry	n15slim	N15 Slim (グレー、ミニマムソフト)アプリの操作が快適なおすすめモデル	PC-GE33ETY6YAD2H2YAA	10011257	pc-ge33ety6yad2h2yaa	https://www.nec-lavie.jp/products/notebook/n15slim/index.html
all-entry	n14slim	N14 Slim タッチパネル搭載、快適にアプリを操作できるおすすめモデル	PC-GE35DRL5YAD2HSYAA	10010280	pc-ge35drl5yad2hsyaa	https://www.nec-lavie.jp/products/notebook/n14slim/index.html
all-entry	n14slim	N14 Slim Office搭載、快適に操作できるおすすめモデル	PC-GE35DRN1YAD2HSYAA	10010353	pc-ge35drn1yad2hsyaa	https://www.nec-lavie.jp/products/notebook/n14slim/index.html
all-entry	n14slim	N14 Slim 快適にアプリを操作できるおすすめモデル	PC-GE35DRN5YAD2HSYAA	10010277	pc-ge35drn5yad2hsyaa	https://www.nec-lavie.jp/products/notebook/n14slim/index.html
all-entry	n14slim	N14 Slim 4年保証付き、快適に操作できるおすすめモデル	PC-GE35DRN5YAD2HSYAG	10010279	pc-ge35drn5yad2hsyag	https://www.nec-lavie.jp/products/notebook/n14slim/index.html
all-aio	a23	A23 インターネットやメールに最適な一体型	PC-GJ122CC5T3D3AUAAA	10010321	pc-gj122cc5t3d3auaaa	https://www.nec-lavie.jp/products/desktop/a23/
all-aio	a23	A23 (ミニマムソフト) インターネットやメールに最適な一体型	PC-GJ122CC6T3D3AUAAA	10010569	pc-gj122cc6t3d3auaaa	https://www.nec-lavie.jp/products/desktop/a23/
all-aio	a23	A23 ExcelやWordが使えるOffice搭載、快適に操作できるおすすめモデル	PC-GJ134CC1T3D3AUAAA	10010323	pc-gj134cc1t3d3auaaa	https://www.nec-lavie.jp/products/desktop/a23/
all-aio	a23	A23 快適にアプリを操作できるおすすめモデル	PC-GJ134CC5T3D3AUAAA	10010322	pc-gj134cc5t3d3auaaa	https://www.nec-lavie.jp/products/desktop/a23/
all-aio	a23	A23 (ミニマムソフト) 快適にアプリを操作できるおすすめモデル	PC-GJ134CC6T3D3AUAAA	10010570	pc-gj134cc6t3d3auaaa	https://www.nec-lavie.jp/products/desktop/a23/
all-aio	a27	A27 ExcelやWordが使えるOffice搭載、快適に操作できるおすすめモデル	PC-GJ134CE1T3D3AUAAA	10010326	pc-gj134ce1t3d3auaaa	https://www.nec-lavie.jp/products/desktop/a27/
all-aio	a27	A27 快適にアプリを操作できる大画面一体型	PC-GJ134CE5T3D3AUAAA	10010325	pc-gj134ce5t3d3auaaa	https://www.nec-lavie.jp/products/desktop/a27/
all-aio	a27	A27(ミニマムソフト) 快適にアプリを操作できる大画面一体型	PC-GJ134CE6T3D3AUAAA	10010573	pc-gj134ce6t3d3auaaa	https://www.nec-lavie.jp/products/desktop/a27/
all-aio	dts	DT Slim 24型ディスプレイの背面装着、クリエイティブな作業に対応するハイスペック	PC-GJ138Y26Z5D1AUAAA	10010900	pc-gj138y26z5d1auaaa	https://www.nec-lavie.jp/products/desktop/dts/
all-aio	dts	DT Slim クリエイティブな作業に対応するハイスペックのコンパクトデスクトップ	PC-GJ138YZ6Z5D1AUAAA	10010255	pc-gj138yz6z5d1auaaa	https://www.nec-lavie.jp/products/desktop/dts/
all-aio	dts	DT Slim 24型ディスプレイの背面にブラケットで装着、快適にアプリを操作できるコンパクトデスクトップ	PC-GJ176Y2625D1AUAAA	10010899	pc-gj176y2625d1auaaa	https://www.nec-lavie.jp/products/desktop/dts/
all-aio	dts	DT Slim ExcelやWordが使えるOffice搭載コンパクトデスクトップ	PC-GJ176YZ2Z5D1AUAAA	10010889	pc-gj176yz2z5d1auaaa	https://www.nec-lavie.jp/products/desktop/dts/
all-aio	dts	DT Slim 快適にアプリを操作できるコンパクトデスクトップ	PC-GJ176YZ6Z5D1AUAAA	10010254	pc-gj176yz6z5d1auaaa	https://www.nec-lavie.jp/products/desktop/dts/
all-aio	a23	A23 写真や動画の編集も快適なハイスペック一体型	PC-GJ177CC5T3D3AUAAA	10010324	pc-gj177cc5t3d3auaaa	https://www.nec-lavie.jp/products/desktop/a23/
all-aio	a23	A23 (ミニマムソフト) 写真や動画の編集も快適なハイスペック一体型	PC-GJ177CC6T3D3AUAAA	10010571	pc-gj177cc6t3d3auaaa	https://www.nec-lavie.jp/products/desktop/a23/
all-aio	a27	A27 大容量メモリとストレージ、Office搭載の5年あんしん保証のハイスペックモデル	PC-GJ177CE1T3A3ARADN	10010572	pc-gj177ce1t3a3aradn	https://www.nec-lavie.jp/products/desktop/a27/
all-aio	a27	A27 写真や動画の編集も快適なハイスペック大画面一体型	PC-GJ177CE5T3D3AUAAA	10010327	pc-gj177ce5t3d3auaaa	https://www.nec-lavie.jp/products/desktop/a27/
all-aio	a27	A27(ミニマムソフト) 写真や動画の編集も快適なハイスペック大画面一体型	PC-GJ177CE6T3D3AUAAA	10010574	pc-gj177ce6t3d3auaaa	https://www.nec-lavie.jp/products/desktop/a27/
all-aio	251q01	DT Core i9搭載ハイエンドデスクトップ	PC-GJ209ZZ5T5D1A2AAA	10011210	pc-gj209zz5t5d1a2aaa	https://www.nec-lavie.jp/products/desktop/dt/251q01.html
all-aio	251q01	DT クリエイティブな作業に対応するハイスペックのデスクトップ	PC-GJ218ZZ5T5D1A2AAA	10011209	pc-gj218zz5t5d1a2aaa	https://www.nec-lavie.jp/products/desktop/dt/251q01.html
all-aio	dt	DT 24型ディスプレイ付き、動画の編集も快適なハイスペックモデル	PC-GJ248W25T5D2A2AAA	10011238	pc-gj248w25t5d2a2aaa	https://www.nec-lavie.jp/products/desktop/dt/index.html
all-aio	dt	DT 24型ディスプレイ付き、動画の編集も快適なハイスペックモデル	PC-GJ248W25T5D2A6AAA	10010483	pc-gj248w25t5d2a6aaa	https://www.nec-lavie.jp/products/desktop/dt/index.html
all-aio	dt	DT 動画の編集も快適なハイスペックモデル	PC-GJ248WZ5T5D2A2AAA	10011237	pc-gj248wz5t5d2a2aaa	https://www.nec-lavie.jp/products/desktop/dt/index.html
all-aio	dt	DT 動画の編集も快適なハイスペックモデル	PC-GJ248WZ5T5D2A6AAA	10010382	pc-gj248wz5t5d2a6aaa	https://www.nec-lavie.jp/products/desktop/dt/index.html
all-aio	dt	DT クリエイティブな作業、動画編集、3Dレンダリングに対応するハイスペックモデル	PC-GJ259WZ5T5D2A2AAA	10011239	pc-gj259wz5t5d2a2aaa	https://www.nec-lavie.jp/products/desktop/dt/index.html
all-aio	dt	DT クリエイティブな作業、動画編集、3Dレンダリングに対応するハイスペックモデル	PC-GJ259WZ5T5D2A6AAA	10010383	pc-gj259wz5t5d2a6aaa	https://www.nec-lavie.jp/products/desktop/dt/index.html
all-aio	251q01	DT 快適にアプリを操作できるデスクトップ	PC-GJ266ZZ5T5D1A2AAA	10011208	pc-gj266zz5t5d1a2aaa	https://www.nec-lavie.jp/products/desktop/dt/251q01.html
all-aio	251q01	DT  快適にアプリを操作できるデスクトップ	PC-GJ266ZZAT5D1A4AAA	10010228	pc-gj266zzat5d1a4aaa	https://www.nec-lavie.jp/products/desktop/dt/251q01.html
all-aio	251q01	DT  快適にアプリを操作できるデスクトップ(ミニマムソフト）	PC-GJ266ZZDT5D1A4AAA	10010227	pc-gj266zzdt5d1a4aaa	https://www.nec-lavie.jp/products/desktop/dt/251q01.html
all-aio	dts	DT Slim ExcelやWordが使えるOffice搭載コンパクトデスクトップ	PC-GJ273YZ2Z5D1ASAAA	10010350	pc-gj273yz2z5d1asaaa	https://www.nec-lavie.jp/products/desktop/dts/
all-aio	dts	DT Slim インターネットやメールに最適なコンパクトデスクトップ	PC-GJ273YZ6Z5D1AUAAA	10010253	pc-gj273yz6z5d1auaaa	https://www.nec-lavie.jp/products/desktop/dts/
all-aio	dt	DT ExcelやWordが使えるOffice搭載 快適に操作できるデスクトップ	PC-GJ336WZ1T5D2A2AAA	10011236	pc-gj336wz1t5d2a2aaa	https://www.nec-lavie.jp/products/desktop/dt/index.html
all-aio	dt	DT ExcelやWordが使えるOffice搭載 快適に操作できるデスクトップ	PC-GJ336WZ1T5D2A4AAA	10010354	pc-gj336wz1t5d2a4aaa	https://www.nec-lavie.jp/products/desktop/dt/index.html
all-aio	dt	DT ExcelやWordが使えるOffice搭載 快適に操作できるデスクトップ	PC-GJ336WZ1T5D2A6AAA	10011207	pc-gj336wz1t5d2a6aaa	https://www.nec-lavie.jp/products/desktop/dt/index.html
all-aio	dt	DT 快適にアプリを操作できるデスクトップ	PC-GJ336WZ5T5D2A2AAA	10011235	pc-gj336wz5t5d2a2aaa	https://www.nec-lavie.jp/products/desktop/dt/index.html
all-aio	dt	DT 快適にアプリを操作できるデスクトップ	PC-GJ336WZ5T5D2A4AAA	10010258	pc-gj336wz5t5d2a4aaa	https://www.nec-lavie.jp/products/desktop/dt/index.html
all-aio	dt	DT 快適にアプリを操作できるデスクトップ	PC-GJ336WZ5T5D2A6AAA	10010381	pc-gj336wz5t5d2a6aaa	https://www.nec-lavie.jp/products/desktop/dt/index.html
all-aio	dt	DT(ミニマムソフト) 快適にアプリを操作できるデスクトップ	PC-GJ336WZ6T5D2A2AAA	10011240	pc-gj336wz6t5d2a2aaa	https://www.nec-lavie.jp/products/desktop/dt/index.html
all-aio	dt	DT(ミニマムソフト)快適にアプリを操作できるデスクトップ	PC-GJ336WZ6T5D2A6AAA	10010309	pc-gj336wz6t5d2a6aaa	https://www.nec-lavie.jp/products/desktop/dt/index.html
all-aio	dts	DT Slim 24型ディスプレイ背面に装着で省スペース	PC-GJ34EY2625D1AUAAA	10010888	pc-gj34ey2625d1auaaa	https://www.nec-lavie.jp/products/desktop/dts/
all-aio	dts	DT Slim エントリーモデル	PC-GJ34EYZ6Z5D1ASAAA	10010315	pc-gj34eyz6z5d1asaaa	https://www.nec-lavie.jp/products/desktop/dts/
all-aio	dts	DT Slim エントリーモデル	PC-GJ34EYZ6Z5D1AUAAA	10010252	pc-gj34eyz6z5d1auaaa	https://www.nec-lavie.jp/products/desktop/dts/
all-aio	251q01	DT 24型ディスプレイ添付、インターネットやメールに最適なデスクトップ	PC-GJ353Z25T5D1A2AAA	10011241	pc-gj353z25t5d1a2aaa	https://www.nec-lavie.jp/products/desktop/dt/251q01.html
all-aio	251q01	DT インターネットやメールに最適なデスクトップ	PC-GJ353ZZ5T5D1A2AAA	10010721	pc-gj353zz5t5d1a2aaa	https://www.nec-lavie.jp/products/desktop/dt/251q01.html
all-aio	251q01	DT インターネットやメールに最適なデスクトップ	PC-GJ353ZZAT5D1A4AAA	10010226	pc-gj353zzat5d1a4aaa	https://www.nec-lavie.jp/products/desktop/dt/251q01.html
all-aio	251q01	DT インターネットやメールに最適なデスクトップ(ミニマムソフト）	PC-GJ353ZZDT5D1A4AAA	10010225	pc-gj353zzdt5d1a4aaa	https://www.nec-lavie.jp/products/desktop/dt/251q01.html
all-aio	251q01	DTエントリーモデル	PC-GJ39EZZ5T5D1A2AAA	10010379	pc-gj39ezz5t5d1a2aaa	https://www.nec-lavie.jp/products/desktop/dt/251q01.html
all-aio	251q01	DT(ミニマムモデル)エントリーモデル	PC-GJ39EZZ6T5D1A2AAA	10011243	pc-gj39ezz6t5d1a2aaa	https://www.nec-lavie.jp/products/desktop/dt/251q01.html
all-aio	251q01	DT エントリーモデル	PC-GJ39EZZAT5D1A4AAA	10010224	pc-gj39ezzat5d1a4aaa	https://www.nec-lavie.jp/products/desktop/dt/251q01.html
all-aio	251q01	DT エントリーモデル(ミニマムソフト）	PC-GJ39EZZDT5D1A4AAA	10010223	pc-gj39ezzdt5d1a4aaa	https://www.nec-lavie.jp/products/desktop/dt/251q01.html
